SUMMARY,DATE,AGENT,server_name,day_of_week,hour_of_day,AGENT_encoded,DATE_numeric,svm_results
Process : nbsvcmon is running successfully,2023-01-01 02:10:18,Application,Application_server_447,6,2,0,1672539018000000000,1
Filesystem:  / is 80 full,2023-01-01 02:15:29,linux_ix86,linux_ix86_server_146,6,2,2,1672539329000000000,1
Process : nbsl is running successfully,2023-01-01 02:20:55,Application,Application_server_259,6,2,0,1672539655000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - monitor procedure did not complete within the expected time.,2023-01-01 02:25:48,linux_ix86,linux_ix86_server_17,6,2,2,1672539948000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-01 02:30:51,linux_ix86,linux_ix86_server_74,6,2,2,1672540251000000000,1
Process : java is running successfully,2023-01-01 02:35:34,Application,Application_server_520,6,2,0,1672540534000000000,1
CHRONY : process is running successfully,2023-01-01 02:41:15,linux_ix86,linux_ix86_server_74,6,2,2,1672540875000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 02:46:21,Application,Application_server_130,6,2,0,1672541181000000000,1
Total CPU Utilization = 75%,2023-01-01 02:51:18,Application,Application_server_243,6,2,0,1672541478000000000,-1
CHRONY : process is running successfully,2023-01-01 02:55:55,linux_ix86,linux_ix86_server_2,6,2,2,1672541755000000000,-1
Process : nbrmms is running successfully,2023-01-01 03:00:58,Application,Application_server_389,6,3,0,1672542058000000000,1
Service: masvc is running,2023-01-01 03:05:59,ms_win,ms_win_server_55,6,3,3,1672542359000000000,1
Process : nbsvcmon is running successfully,2023-01-01 03:11:00,Application,Application_server_127,6,3,0,1672542660000000000,1
splunkd is running successfully,2023-01-01 03:16:07,Application,Application_server_224,6,3,0,1672542967000000000,1
splunkd is running successfully,2023-01-01 03:21:11,Application,Application_server_258,6,3,0,1672543271000000000,1
system: Processor Queue Length is 0,2023-01-01 03:25:37,ms_win,ms_win_server_44,6,3,3,1672543537000000000,1
Process : nbrmms is running successfully,2023-01-01 03:30:51,Application,Application_server_474,6,3,0,1672543851000000000,1
[MAN] The PERC1 battery is high.,2023-01-01 03:35:35,dell-idrac,dell-idrac_server_46,6,3,1,1672544135000000000,1
Process : java is running successfully,2023-01-01 03:41:00,Application,Application_server_455,6,3,0,1672544460000000000,1
Current memory usage percentage is 50%,2023-01-01 03:46:16,Application,Application_server_379,6,3,0,1672544776000000000,1
Process : nbrmms is running successfully,2023-01-01 03:51:24,Application,Application_server_512,6,3,0,1672545084000000000,1
system: Processor Queue Length is 0,2023-01-01 03:56:06,ms_win,ms_win_server_20,6,3,3,1672545366000000000,1
Current memory usage percentage is 110%,2023-01-01 04:00:11,Application,Application_server_281,6,4,0,1672545611000000000,1
Current memory usage percentage is 70%,2023-01-01 04:05:25,Application,Application_server_150,6,4,0,1672545925000000000,1
splunkd is running successfully,2023-01-01 04:10:22,Application,Application_server_389,6,4,0,1672546222000000000,1
Process : java is running successfully,2023-01-01 04:15:23,Application,Application_server_232,6,4,0,1672546523000000000,1
"[MAN] Log /var/log/messages temperature above threshold, cpu clock throttled (total events = 1083)",2023-01-01 04:20:30,linux_ix86,linux_ix86_server_112,6,4,2,1672546830000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 04:25:13,Application,Application_server_88,6,4,0,1672547113000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 04:30:11,Application,Application_server_48,6,4,0,1672547411000000000,1
[MAN] The PERC1 battery is medium.,2023-01-01 04:34:48,dell-idrac,dell-idrac_server_36,6,4,1,1672547688000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 04:39:53,linux_ix86,linux_ix86_server_76,6,4,2,1672547993000000000,1
CHRONY : process is running successfully,2023-01-01 04:44:51,linux_ix86,linux_ix86_server_107,6,4,2,1672548291000000000,1
Service: enstart64 is running,2023-01-01 04:49:33,ms_win,ms_win_server_25,6,4,3,1672548573000000000,1
splunkd is running successfully,2023-01-01 04:54:19,Application,Application_server_156,6,4,0,1672548859000000000,1
CHRONY : process is running successfully,2023-01-01 04:59:25,linux_ix86,linux_ix86_server_92,6,4,2,1672549165000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 05:04:12,Application,Application_server_83,6,5,0,1672549452000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 05:09:18,Application,Application_server_98,6,5,0,1672549758000000000,1
splunkd is running successfully,2023-01-01 05:14:18,Application,Application_server_240,6,5,0,1672550058000000000,1
*CP01*nodeagent is missing,2023-01-01 05:19:45,websphere,websphere_server_53,6,5,4,1672550385000000000,1
Filesystem:  / is 70 full,2023-01-01 05:25:01,linux_ix86,linux_ix86_server_154,6,5,2,1672550701000000000,1
Process : nbsl is running successfully,2023-01-01 05:30:15,Application,Application_server_352,6,5,0,1672551015000000000,1
Process : nbsvcmon is running successfully,2023-01-01 05:35:09,Application,Application_server_453,6,5,0,1672551309000000000,1
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 05:40:58,websphere,websphere_server_43,6,5,4,1672551658000000000,1
system: Processor Queue Length is 0,2023-01-01 05:46:08,ms_win,ms_win_server_61,6,5,3,1672551968000000000,1
[MAN] Log /var/log/messages NIC Link is Up.,2023-01-01 05:51:15,linux_ix86,linux_ix86_server_104,6,5,2,1672552275000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 05:56:06,Application,Application_server_172,6,5,0,1672552566000000000,1
Service: Domain Time Client is running,2023-01-01 06:01:24,ms_win,ms_win_server_6,6,6,3,1672552884000000000,1
Total CPU Utilization = 75%,2023-01-01 06:06:36,Application,Application_server_278,6,6,0,1672553196000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 06:11:18,Application,Application_server_420,6,6,0,1672553478000000000,1
splunkd is running successfully,2023-01-01 06:15:59,Application,Application_server_124,6,6,0,1672553759000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 06:21:26,Application,Application_server_139,6,6,0,1672554086000000000,1
Process : nbrmms is running successfully,2023-01-01 06:26:08,Application,Application_server_85,6,6,0,1672554368000000000,1
Total CPU Utilization = 75%,2023-01-01 06:31:15,Application,Application_server_415,6,6,0,1672554675000000000,1
CHRONY : process is running successfully,2023-01-01 06:36:34,linux_ix86,linux_ix86_server_83,6,6,2,1672554994000000000,1
CHRONY : process is running successfully,2023-01-01 06:41:36,linux_ix86,linux_ix86_server_125,6,6,2,1672555296000000000,1
Current memory usage percentage is 50%,2023-01-01 06:46:44,Application,Application_server_241,6,6,0,1672555604000000000,1
*CP01*nodeagent is missing,2023-01-01 06:51:23,websphere,websphere_server_39,6,6,4,1672555883000000000,1
Filesystem:  / is 85 full,2023-01-01 06:56:35,linux_ix86,linux_ix86_server_2,6,6,2,1672556195000000000,1
Process : nbsvcmon is running successfully,2023-01-01 07:01:36,Application,Application_server_374,6,7,0,1672556496000000000,1
Process : java is running successfully,2023-01-01 07:06:45,Application,Application_server_426,6,7,0,1672556805000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 07:11:35,Application,Application_server_197,6,7,0,1672557095000000000,1
Process : nbrmms is running successfully,2023-01-01 07:16:31,Application,Application_server_320,6,7,0,1672557391000000000,1
Process : nbsl is running successfully,2023-01-01 07:21:49,Application,Application_server_277,6,7,0,1672557709000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 07:26:36,Application,Application_server_103,6,7,0,1672557996000000000,1
Service: Domain Time Client is running,2023-01-01 07:31:50,ms_win,ms_win_server_24,6,7,3,1672558310000000000,1
Filesystem:  / is 75 full,2023-01-01 07:36:42,linux_ix86,linux_ix86_server_118,6,7,2,1672558602000000000,1
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 07:41:57,linux_ix86,linux_ix86_server_11,6,7,2,1672558917000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 07:46:49,Application,Application_server_48,6,7,0,1672559209000000000,1
Service: syslog-ng Agent is running,2023-01-01 07:51:54,ms_win,ms_win_server_31,6,7,3,1672559514000000000,1
Process : java is running successfully,2023-01-01 07:56:35,Application,Application_server_26,6,7,0,1672559795000000000,1
Filesystem:  / is 70 full,2023-01-01 08:01:41,linux_ix86,linux_ix86_server_143,6,8,2,1672560101000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 08:06:37,Application,Application_server_337,6,8,0,1672560397000000000,1
CHRONY : process is running successfully,2023-01-01 08:11:22,linux_ix86,linux_ix86_server_35,6,8,2,1672560682000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 08:16:25,Application,Application_server_397,6,8,0,1672560985000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 08:21:31,Application,Application_server_271,6,8,0,1672561291000000000,1
[MAN] Predictive failure reported for Disk 1 in Backplane 1 of Integrated RAID Controller 1.,2023-01-01 08:26:32,dell-idrac,dell-idrac_server_39,6,8,1,1672561592000000000,1
Process : nbrmms is running successfully,2023-01-01 08:31:31,Application,Application_server_305,6,8,0,1672561891000000000,1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-01 08:36:34,websphere,websphere_server_17,6,8,4,1672562194000000000,1
Total CPU Utilization = 55%,2023-01-01 08:41:25,Application,Application_server_338,6,8,0,1672562485000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 08:46:13,Application,Application_server_74,6,8,0,1672562773000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 08:51:30,Application,Application_server_124,6,8,0,1672563090000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 08:56:33,Application,Application_server_231,6,8,0,1672563393000000000,1
Process : nbsvcmon is running successfully,2023-01-01 09:01:20,Application,Application_server_335,6,9,0,1672563680000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 09:06:26,Application,Application_server_133,6,9,0,1672563986000000000,-1
Filesystem:  / is 75 full,2023-01-01 09:11:18,linux_ix86,linux_ix86_server_54,6,9,2,1672564278000000000,-1
Filesystem:  / is 70 full,2023-01-01 09:15:57,linux_ix86,linux_ix86_server_11,6,9,2,1672564557000000000,1
Filesystem:  / is 90 full,2023-01-01 09:21:10,linux_ix86,linux_ix86_server_103,6,9,2,1672564870000000000,1
[MAN] Log /var/log/messages NIC Link is Down.,2023-01-01 09:26:27,linux_ix86,linux_ix86_server_112,6,9,2,1672565187000000000,1
Process : nbsvcmon is running successfully,2023-01-01 09:31:33,Application,Application_server_496,6,9,0,1672565493000000000,1
Process : nbrmms is running successfully,2023-01-01 09:37:05,Application,Application_server_24,6,9,0,1672565825000000000,1
Process : java is running successfully,2023-01-01 09:42:17,Application,Application_server_322,6,9,0,1672566137000000000,1
*CP01*nodeagent is missing,2023-01-01 09:47:34,websphere,websphere_server_49,6,9,4,1672566454000000000,1
Filesystem:  / is 85 full,2023-01-01 09:52:43,linux_ix86,linux_ix86_server_65,6,9,2,1672566763000000000,1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-01 09:57:03,websphere,websphere_server_48,6,9,4,1672567023000000000,1
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 10:02:04,websphere,websphere_server_10,6,10,4,1672567324000000000,1
Current memory usage percentage is 60%,2023-01-01 10:07:05,Application,Application_server_83,6,10,0,1672567625000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 10:11:53,Application,Application_server_59,6,10,0,1672567913000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 10:17:03,Application,Application_server_33,6,10,0,1672568223000000000,1
CHRONY : process is running successfully,2023-01-01 10:22:14,linux_ix86,linux_ix86_server_139,6,10,2,1672568534000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 10:27:11,linux_ix86,linux_ix86_server_49,6,10,2,1672568831000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 10:31:56,Application,Application_server_399,6,10,0,1672569116000000000,1
[MAN] The PERC1 battery is high.,2023-01-01 10:37:04,dell-idrac,dell-idrac_server_19,6,10,1,1672569424000000000,1
Filesystem:  / is 90 full,2023-01-01 10:41:53,linux_ix86,linux_ix86_server_154,6,10,2,1672569713000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 10:46:36,dell-idrac,dell-idrac_server_47,6,10,1,1672569996000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 10:51:33,Application,Application_server_282,6,10,0,1672570293000000000,1
CHRONY : process is running successfully,2023-01-01 10:56:52,linux_ix86,linux_ix86_server_116,6,10,2,1672570612000000000,1
Process : nbsl is running successfully,2023-01-01 11:01:34,Application,Application_server_112,6,11,0,1672570894000000000,1
Process : nbrmms is running successfully,2023-01-01 11:06:05,Application,Application_server_389,6,11,0,1672571165000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 11:11:09,Application,Application_server_53,6,11,0,1672571469000000000,1
Service: syslog-ng Agent is running,2023-01-01 11:16:09,ms_win,ms_win_server_41,6,11,3,1672571769000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 11:20:58,linux_ix86,linux_ix86_server_5,6,11,2,1672572058000000000,1
Process : nbsvcmon is running successfully,2023-01-01 11:25:59,Application,Application_server_484,6,11,0,1672572359000000000,1
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 11:30:36,linux_ix86,linux_ix86_server_79,6,11,2,1672572636000000000,1
Process : java is not running,2023-01-01 11:35:32,Application,Application_server_472,6,11,0,1672572932000000000,1
splunkd is running successfully,2023-01-01 11:40:49,Application,Application_server_184,6,11,0,1672573249000000000,-1
Current memory usage percentage is 50%,2023-01-01 11:45:27,Application,Application_server_437,6,11,0,1672573527000000000,1
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 11:50:29,websphere,websphere_server_46,6,11,4,1672573829000000000,1
system: Processor Queue Length is 0,2023-01-01 11:55:49,ms_win,ms_win_server_51,6,11,3,1672574149000000000,1
system: Processor Queue Length is 0,2023-01-01 12:01:01,ms_win,ms_win_server_56,6,12,3,1672574461000000000,1
Service: enstart64 is running,2023-01-01 12:05:48,ms_win,ms_win_server_59,6,12,3,1672574748000000000,1
Current memory usage percentage is 60%,2023-01-01 12:10:35,Application,Application_server_417,6,12,0,1672575035000000000,1
CHRONY : process is running successfully,2023-01-01 12:15:53,linux_ix86,linux_ix86_server_32,6,12,2,1672575353000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 12:21:20,dell-idrac,dell-idrac_server_37,6,12,1,1672575680000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-01 12:25:59,linux_ix86,linux_ix86_server_155,6,12,2,1672575959000000000,1
system: Processor Queue Length is 0,2023-01-01 12:30:49,ms_win,ms_win_server_39,6,12,3,1672576249000000000,1
Filesystem:  / is 80 full,2023-01-01 12:35:54,linux_ix86,linux_ix86_server_10,6,12,2,1672576554000000000,1
Process : nbrmms is running successfully,2023-01-01 12:40:44,Application,Application_server_208,6,12,0,1672576844000000000,1
Process : java is running successfully,2023-01-01 12:45:27,Application,Application_server_299,6,12,0,1672577127000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 12:50:20,dell-idrac,dell-idrac_server_43,6,12,1,1672577420000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 12:55:00,Application,Application_server_291,6,12,0,1672577700000000000,1
Process : nbrmms is running successfully,2023-01-01 13:00:19,Application,Application_server_359,6,13,0,1672578019000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 13:05:16,Application,Application_server_431,6,13,0,1672578316000000000,1
Process : nbsvcmon is running successfully,2023-01-01 13:10:25,Application,Application_server_79,6,13,0,1672578625000000000,1
Process : java is running successfully,2023-01-01 13:15:36,Application,Application_server_319,6,13,0,1672578936000000000,1
"[MAN] Log /var/log/messages temperature above threshold, cpu clock throttled (total events = 1083)",2023-01-01 13:20:11,linux_ix86,linux_ix86_server_59,6,13,2,1672579211000000000,1
Filesystem:  / is 75 full,2023-01-01 13:24:56,linux_ix86,linux_ix86_server_143,6,13,2,1672579496000000000,1
Process : nbsvcmon is running successfully,2023-01-01 13:30:02,Application,Application_server_236,6,13,0,1672579802000000000,1
CHRONY : process is running successfully,2023-01-01 13:34:57,linux_ix86,linux_ix86_server_138,6,13,2,1672580097000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is Stopped,2023-01-01 13:40:22,Application,Application_server_487,6,13,0,1672580422000000000,1
Process : nbrmms is running successfully,2023-01-01 13:44:29,Application,Application_server_520,6,13,0,1672580669000000000,1
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-01 13:49:21,websphere,websphere_server_22,6,13,4,1672580961000000000,1
Current memory usage percentage is 70%,2023-01-01 13:54:42,Application,Application_server_213,6,13,0,1672581282000000000,1
splunkd is running successfully,2023-01-01 13:59:44,Application,Application_server_48,6,13,0,1672581584000000000,1
CHRONY : process is running successfully,2023-01-01 14:04:27,linux_ix86,linux_ix86_server_81,6,14,2,1672581867000000000,1
Process : java is running successfully,2023-01-01 14:09:46,Application,Application_server_236,6,14,0,1672582186000000000,1
Process : nbsvcmon is running successfully,2023-01-01 14:14:42,Application,Application_server_400,6,14,0,1672582482000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 14:19:40,Application,Application_server_337,6,14,0,1672582780000000000,1
Current memory usage percentage is 80%,2023-01-01 14:24:59,Application,Application_server_118,6,14,0,1672583099000000000,1
Service: Domain Time Client is Stopped,2023-01-01 14:29:36,ms_win,ms_win_server_89,6,14,3,1672583376000000000,1
Process : nbsl is running successfully,2023-01-01 14:34:42,Application,Application_server_271,6,14,0,1672583682000000000,1
[MAN] The system inlet temperature is less than the lower critical threshold.,2023-01-01 14:39:41,dell-idrac,dell-idrac_server_38,6,14,1,1672583981000000000,1
"[MAN] Log /var/log/messages temperature above threshold, cpu clock throttled (total events = 1083)",2023-01-01 14:44:48,linux_ix86,linux_ix86_server_8,6,14,2,1672584288000000000,1
Service: enstart64 is running,2023-01-01 14:49:31,ms_win,ms_win_server_76,6,14,3,1672584571000000000,1
[MAN] The PERC1 battery is medium.,2023-01-01 14:54:23,dell-idrac,dell-idrac_server_13,6,14,1,1672584863000000000,1
system: Processor Queue Length is 0,2023-01-01 14:59:26,ms_win,ms_win_server_48,6,14,3,1672585166000000000,-1
"[MAN] Log /var/log/messages .121242-05:00 serverabc123 smad: [ALERT ]: WARNING: Correctable Memory Error Threshold Exceeded (Processor 2, DIMM 8).",2023-01-01 15:04:31,linux_ix86,linux_ix86_server_130,6,15,2,1672585471000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 15:09:26,Application,Application_server_206,6,15,0,1672585766000000000,1
Process : TaskRoutingService is running successfully,2023-01-01 15:14:58,Application,Application_server_511,6,15,0,1672586098000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-01 15:20:22,linux_ix86,linux_ix86_server_32,6,15,2,1672586422000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-01 15:25:20,dell-idrac,dell-idrac_server_39,6,15,1,1672586720000000000,1
Process : P84xConnectorService is not running,2023-01-01 15:29:54,Application,Application_server_150,6,15,0,1672586994000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-01 15:34:52,Application,Application_server_447,6,15,0,1672587292000000000,1
Process : java is running successfully,2023-01-01 15:40:02,Application,Application_server_231,6,15,0,1672587602000000000,1
Current memory usage percentage is 40%,2023-01-01 15:44:37,Application,Application_server_1,6,15,0,1672587877000000000,1
[MAN] The PERC1 battery is high.,2023-01-01 15:49:16,dell-idrac,dell-idrac_server_11,6,15,1,1672588156000000000,1
Process : nbrmms is running successfully,2023-01-01 15:54:02,Application,Application_server_166,6,15,0,1672588442000000000,-1
Total CPU Utilization = 60%,2023-01-01 15:59:33,Application,Application_server_206,6,15,0,1672588773000000000,1
Filesystem:  / is 75 full,2023-01-01 16:04:38,linux_ix86,linux_ix86_server_153,6,16,2,1672589078000000000,1
Filesystem:  / is 85 full,2023-01-01 16:09:30,linux_ix86,linux_ix86_server_78,6,16,2,1672589370000000000,1
Service: syslog-ng Agent is running,2023-01-01 16:13:54,ms_win,ms_win_server_39,6,16,3,1672589634000000000,1
Process : nbsvcmon is running successfully,2023-01-01 16:18:49,Application,Application_server_389,6,16,0,1672589929000000000,1
[MAN] Log /var/log/messages kernel: sd Unrecovered read error.,2023-01-01 16:23:48,linux_ix86,linux_ix86_server_1,6,16,2,1672590228000000000,1
Filesystem:  / is 70 full,2023-01-01 16:29:15,linux_ix86,linux_ix86_server_56,6,16,2,1672590555000000000,-1
Process : P84xConnectorService is running successfully,2023-01-01 16:34:18,Application,Application_server_201,6,16,0,1672590858000000000,1
system: Processor Queue Length is 0,2023-01-01 16:39:34,ms_win,ms_win_server_51,6,16,3,1672591174000000000,1
Total CPU Utilization = 50%,2023-01-01 16:44:58,Application,Application_server_268,6,16,0,1672591498000000000,1
Process : nbsvcmon is running successfully,2023-01-01 16:50:27,Application,Application_server_72,6,16,0,1672591827000000000,-1
Process : P84xConnectorService is running successfully,2023-01-01 16:54:59,Application,Application_server_408,6,16,0,1672592099000000000,-1
Current memory usage percentage is 60%,2023-01-01 16:59:55,Application,Application_server_121,6,16,0,1672592395000000000,1
Process : nbsvcmon is running successfully,2023-01-01 17:05:27,Application,Application_server_432,6,17,0,1672592727000000000,1
Process : java is running successfully,2023-01-01 17:09:58,Application,Application_server_74,6,17,0,1672592998000000000,1
Service: masvc is running,2023-01-01 17:14:13,ms_win,ms_win_server_101,6,17,3,1672593253000000000,1
Process : nbsl is running successfully,2023-01-01 17:19:25,Application,Application_server_160,6,17,0,1672593565000000000,1
Process : P84xConnectorService is running successfully,2023-01-01 17:24:36,Application,Application_server_90,6,17,0,1672593876000000000,1
[MAN] The PERC1 battery is medium.,2023-01-01 17:29:51,dell-idrac,dell-idrac_server_27,6,17,1,1672594191000000000,1
Current memory usage percentage is 50%,2023-01-01 17:34:46,Application,Application_server_153,6,17,0,1672594486000000000,1
*CP01*nodeagent is missing,2023-01-01 17:39:43,websphere,websphere_server_4,6,17,4,1672594783000000000,-1
Process : nbsvcmon is running successfully,2023-01-01 17:45:01,Application,Application_server_511,6,17,0,1672595101000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-01 17:50:01,linux_ix86,linux_ix86_server_97,6,17,2,1672595401000000000,1
system: Processor Queue Length is 0,2023-01-01 17:54:56,ms_win,ms_win_server_35,6,17,3,1672595696000000000,1
Process : nbsl is running successfully,2023-01-01 17:59:57,Application,Application_server_194,6,17,0,1672595997000000000,1
splunkd is running successfully,2023-01-01 18:04:53,Application,Application_server_55,6,18,0,1672596293000000000,1
Service: syslog-ng Agent is running,2023-01-01 18:09:44,ms_win,ms_win_server_80,6,18,3,1672596584000000000,1
Process : nbrmms is running successfully,2023-01-01 18:14:13,Application,Application_server_375,6,18,0,1672596853000000000,1
Process : nbsvcmon is running successfully,2023-01-01 18:19:08,Application,Application_server_191,6,18,0,1672597148000000000,1
[MAN] Predictive failure reported for Disk 0 in Backplane 1 of Integrated RAID Controller 1.,2023-01-01 18:24:11,dell-idrac,dell-idrac_server_42,6,18,1,1672597451000000000,1
Service: Domain Time Client is running,2023-01-01 18:29:01,ms_win,ms_win_server_63,6,18,3,1672597741000000000,1
Process : nbsvcmon is running successfully,2023-01-01 18:34:18,Application,Application_server_384,6,18,0,1672598058000000000,1
